,01,02,03,04,05,06,07,08,09,10,11,12
MRO-CC,0.0561,0.0804,0.1807,0.2669,0.1604,0.0562,0.02,0.0155,0.0911,0.3227,0.1989,0.0834
MRO-CT,0.0536,0.0547,0.0937,0.1187,0.105,0.0522,0.0237,0.0214,0.0661,0.133,0.1165,0.0774
MRO-HD,0.0813,0.0851,0.1376,0.1501,0.1232,0.0758,0.0502,0.0496,0.0989,0.1649,0.1468,0.0984
MRO-NU,0.0107,0.0285,0.0826,0.17,0.1099,0.0392,0.0193,0.0185,0.0835,0.2658,0.1556,0.0407
MRO-ST,0.0747,0.083,0.1786,0.2738,0.2239,0.0796,0.0339,0.0334,0.1092,0.2054,0.1818,0.0995
NPCC-CC,0.0282,0.0283,0.0987,0.1924,0.1239,0.0346,0.0148,0.0121,0.0696,0.1833,0.1243,0.0514
NPCC-CT,0.0595,0.0608,0.1063,0.1551,0.1035,0.024,0.01,0.0062,0.0516,0.1768,0.1333,0.0754
NPCC-HD,0.0676,0.075,0.0999,0.1051,0.1004,0.0797,0.0632,0.0637,0.082,0.131,0.1173,0.0786
NPCC-NU,0.0079,0.0162,0.1049,0.1987,0.1027,0.0162,0.0046,0.0081,0.0332,0.1107,0.0397,0.0032
NPCC-ST,0.0769,0.0867,0.1633,0.2676,0.1914,0.0384,0.0237,0.0289,0.0963,0.2967,0.258,0.1124
RFC-CC,0.0355,0.0414,0.1251,0.2721,0.2105,0.0429,0.0131,0.0154,0.0669,0.2248,0.1815,0.0617
RFC-CT,0.0364,0.0418,0.0976,0.1593,0.1117,0.0285,0.0106,0.0108,0.0626,0.162,0.1414,0.0675
RFC-HD,0.0639,0.0642,0.0828,0.1169,0.1085,0.0777,0.069,0.078,0.1543,0.2107,0.1476,0.0807
RFC-NU,0.0106,0.0533,0.1193,0.158,0.0995,0.0251,0.0095,0.0113,0.0551,0.1415,0.0768,0.0234
RFC-ST,0.0875,0.1004,0.2051,0.296,0.2582,0.0981,0.05,0.0536,0.1453,0.2938,0.2456,0.1356
SERC-CC,0.0416,0.0689,0.2098,0.2382,0.1447,0.0503,0.024,0.0207,0.0757,0.2118,0.2018,0.0915
SERC-CT,0.0388,0.0508,0.0997,0.1084,0.0817,0.0344,0.02,0.0202,0.0567,0.1288,0.1102,0.0762
SERC-HD,0.0765,0.0874,0.1206,0.1318,0.1117,0.0919,0.0771,0.0823,0.1125,0.1467,0.1294,0.0905
SERC-NU,0.018,0.0585,0.1435,0.159,0.0963,0.0283,0.0099,0.0138,0.0748,0.1443,0.1121,0.035
SERC-ST,0.0659,0.0976,0.2199,0.2645,0.1821,0.0711,0.0413,0.0464,0.1144,0.2302,0.2243,0.118
TRE-CC,0.0464,0.0676,0.2337,0.246,0.1234,0.037,0.0218,0.0122,0.0263,0.1798,0.2129,0.0773
TRE-CT,0.0535,0.0577,0.1085,0.1191,0.0767,0.0265,0.0111,0.0087,0.0291,0.1129,0.1046,0.0623
TRE-HD,0.0423,0.04,0.0576,0.0882,0.0765,0.0194,0.0021,0.0014,0.0222,0.0897,0.0957,0.052
TRE-NU,,,,,,,,,,,,
TRE-ST,0.0804,0.1246,0.2704,0.2446,0.122,0.0349,0.0275,0.0246,0.0324,0.132,0.1751,0.1037
WECC-CC,0.0802,0.1087,0.1773,0.2049,0.1621,0.0474,0.0128,0.0111,0.0278,0.1398,0.1384,0.0781
WECC-CT,0.0545,0.0807,0.1166,0.1199,0.0828,0.036,0.0141,0.0122,0.0301,0.1086,0.0993,0.064
WECC-HD,0.1547,0.16,0.1574,0.1331,0.1088,0.0924,0.0996,0.1211,0.16,0.2087,0.2023,0.1649
WECC-NU,0.011,0.0704,0.0623,0.1665,0.151,0.0838,0.0076,0.0054,0.0122,0.2156,0.142,0.0291
WECC-ST,0.0568,0.1045,0.1697,0.204,0.1439,0.0545,0.0181,0.0134,0.0391,0.0807,0.0743,0.0424
